GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48001,89,1053.5154398171233,28790411.539773967,6258405269540.465,1129293002243928.0,-7.441052717912731,2446.2337444192563,36820.468843676106,88548.24076312667,124305.22299805025,136187.10292522804,224.96428983168113,136187.10292522804,LP3
48005,79,1100.2444949294463,1200.160953466304,20589.296499046224,182035.1677701963,-3.191405894055378,2182.275689235927,12016.101789013706,28563.147946129448,41427.991749668545,46132.43780352291,192.9822203070785,46132.43780352291,LP3
48009,75,226.42055675881687,636487.0582593058,9213227580.12291,528930972563.8036,-5.800854224342386,1561.6786865289766,1672.103764265628,7994.193830727521,24122.635566620876,36715.71115771674,231.04178007067176,36715.71115771674,LP3
48011,54,1180.2748723321806,1226.6768591759478,5350.622896301707,29042.98287434706,-2.7201436465833355,1439.2475287833297,6699.197562546944,22796.95386765869,51166.25004448188,68954.81550106689,147.5414832418473,68954.81550106689,LP3
48013,28,46.690644507796065,2448547.4156099013,92661334351.9862,7984920502352.217,-6.382542779413885,560.3628167344228,2035.0736580368152,5405.835011990436,6157.969409307781,6247.31071197441,86.7044651771178,6247.31071197441,LP3
48015,49,61.864791492437135,2657683.856569184,61654419646.92509,4320046156912.036,-6.08623907954318,1242.1359084568292,15308.619829834422,67675.87179378614,120653.14014136358,141066.41899181958,178.01379872255183,141066.41899181958,LP3
48019,76,89.1645251808228,4199592.903643406,135730148821.39438,10941603607593.25,-6.287013014193295,1818.4186413443997,7569.734559498599,51444.764872176114,127696.88224420918,169021.67187193115,301.0169663633116,169021.67187193115,LP3
48021,86,133.56051316496809,7751119.984511592,390440514484.9025,37969359071605.36,-6.555700173748976,2263.061908643081,21715.7760042026,92380.93727275771,172463.4799176133,206694.3172948188,297.7454308355107,206694.3172948188,LP3
48023,95,579.8587415840293,8127026.827653323,707227414702.6305,86661365485840.67,-6.886763666514042,2409.157733685779,13420.453148175602,42732.555559168606,74417.75506671928,88391.79009321163,278.3550215421854,88391.79009321163,LP3
48025,57,52.302526596738495,1537603.105647636,24025487695.686703,1424421515748.3225,-5.846955038427289,1266.5540355273863,3127.521960519932,19119.19894935478,51796.65145341517,72435.07652773664,213.02415678218415,72435.07652773664,LP3
48027,96,193.53189462863745,3460238.5591564514,168865522464.1599,16203590365611.355,-6.53654593010606,2476.482819166259,14985.57343537396,42227.63287000438,67434.64620018611,77565.89610950471,264.1744193978592,77565.89610950471,LP3
48029,97,114.14076142540478,6401437.142484781,491408954887.0231,57105191725161.67,-6.810801560696053,2404.899126670308,10994.08702389652,45677.55680323552,78207.99647362983,90171.31464985356,339.9233508515842,90171.31464985356,LP3
48031,70,114.74173733195522,2596765.9523395575,59256096918.28067,4123194375971.733,-6.0762683786019345,1833.4233905637648,20007.24167114281,100045.53474633684,212551.2829439752,267644.47197878914,254.03594994216164,267644.47197878914,LP3
48033,32,31.37015318227719,2235477.130510648,79634243711.34541,6689122947961.009,-6.345927784243312,645.7848248933376,1260.4092342003169,6912.911211384554,17993.07981803503,24917.31724765629,117.55928550902216,24917.31724765629,LP3
48035,94,109.52139825838832,8583518.28718525,466001098338.0797,46775378094905.69,-6.601051959324441,2501.248844178827,22618.792133150393,70733.27755438765,120485.7539138635,141770.09201757942,274.4176657441807,141770.09201757942,LP3
48037,85,85.77563430750124,1703559.24800727,28651139139.892223,1752351835651.2388,-5.891519053822281,2253.239881244315,28279.892032227493,132917.75986331917,221082.16514735873,249664.13898147873,318.837569741021,249664.13898147873,LP3
48039,72,209.1029541042128,12222070.60504434,1504108999312.017,213384868651868.53,-7.09656507036437,1862.60308661192,22832.242004323016,85200.20471541965,117187.146643942,124380.61350150737,256.4986388072374,124380.61350150737,LP3
