GEOID,total_claims,total_payout,years_with_claims,Q10yr_gev,impervious_pct,median_income,COUNTY_NAME,exposure_idx,hazard_idx,imperv_idx,vuln_idx,risk_index,Q100yr_best,Q10yr_lp3,best_model,n_obs
48201,7811.0,292394341.53,6,27360189.846187662,34.32519764340662,70789,Harris County,100.0,0.0,92.0,38.7,57.67,162419.5722627744,62184.09589497744,LP3,96.0
48071,387.0,32010999.83,5,221.95217614900537,3.610383200535989,106103,Chambers County,5.0,100.0,9.5,25.8,41.0,504689698.7753355,236661.50827810576,LP3,19.0
48245,3105.0,233810635.14,6,1346.2119770731017,6.7004186743717415,57294,Jefferson County,39.8,0.0,17.8,47.8,23.37,52314.34099299312,19081.203016002593,LP3,59.0
48113,324.0,12374679.15,6,14336933.651407778,37.31533889783668,70732,Dallas County,4.1,0.0,100.0,38.7,20.51,123430.54981001886,64083.242494762824,LP3,115.0
48439,233.0,5905706.71,6,9385647.412099805,34.70082915564087,78872,Tarrant County,3.0,0.0,93.0,34.7,18.62,63555.726762399325,31701.292493114557,LP3,100.0
48361,2326.0,191344332.38000005,6,4882643.249784267,5.990215575968004,71910,Orange County,29.8,0.3,15.9,38.1,18.22,1624590.251510557,62900.39325780377,LP3,50.0
48167,1338.0,20906428.28,6,2977533.1664245273,16.52586555636726,83913,Galveston County,17.1,0.0,44.2,32.6,16.73,37890.736273974995,16497.93229730449,LP3,26.0
48339,1915.0,127594476.91,6,7849359.495844299,10.030024451676478,95946,Montgomery County,24.5,0.0,26.7,28.5,16.66,125902.71510536825,49376.17668400177,LP3,86.0
48215,1266.0,32638317.06,6,1580952.1362798589,7.670611306924855,49371,Hidalgo County,16.2,0.0,20.4,55.4,15.08,82841.59286101047,73060.06257898171,LP3,38.0
48061,1042.0,42606391.620000005,6,3201812.6160065145,6.739995934557437,47435,Cameron County,13.3,0.0,17.9,57.7,13.77,31516.413449358304,28860.205850095634,LP3,42.0
48029,107.0,1685298.27,6,6401437.142484781,20.12108622565549,67275,Bexar County,1.4,0.0,53.8,40.7,12.7,90171.31464985356,45677.55680323552,LP3,97.0
48127,1.0,106469.7,1,1592700.2342110889,0.7121273278015388,27374,Dimmit County,0.0,0.0,1.7,100.0,10.26,26305.405428528804,17282.325699594636,LP3,71.0
48157,525.0,17083290.01,6,24525864.059417363,12.663695647224252,109987,Fort Bend County,6.7,0.0,33.8,24.9,10.24,120153.87556474668,101004.28245538675,LP3,98.0
48453,111.0,2189594.92,6,2675533.685192002,15.8969273578247,92731,Travis County,1.4,0.2,42.5,29.5,9.96,1080292.5269096592,117082.74905550484,LP3,120.0
48085,45.0,1127000.69,5,2748840.6270532357,17.52740411618705,113255,Collin County,0.6,0.0,46.8,24.2,9.68,48017.37640555215,19281.526610268214,LP3,71.0
48377,0.0,0.0,0,,0.1927731769105576,29012,Presidio County,0.0,0.0,0.3,94.4,9.49,,,,
48141,69.0,2426934.3499999996,6,1267982.1575105458,10.277341706271486,55417,El Paso County,0.9,0.0,27.4,49.4,9.41,19345.082379010106,11250.14829052842,LP3,95.0
48047,1.0,0.0,1,,0.5434176279528683,30566,Brooks County,0.0,0.0,1.2,89.6,9.14,,,,
48355,274.0,4717579.01,6,1413117.6116459952,8.383102433622318,64027,Nueces County,3.5,0.0,22.3,42.8,9.02,31962.94825673954,11764.213857523113,LP3,51.0
48039,751.0,13116202.35,6,12222070.60504434,5.2476444886111935,91972,Brazoria County,9.6,0.0,13.9,29.8,8.91,124380.61350150737,85200.20471541965,LP3,72.0
48121,59.0,1463754.07,6,3310562.894866125,14.585722824937934,104180,Denton County,0.8,0.0,38.9,26.3,8.78,70641.46829146078,29069.069032515195,LP3,88.0
48183,15.0,243834.12,6,3886340.005535811,10.891696737256956,63811,Gregg County,0.2,0.0,29.0,42.9,8.72,95738.21696548644,39806.912175900055,LP3,95.0
48291,603.0,40026825.760000005,6,48376941.211034946,1.9757164606908324,59605,Liberty County,7.7,0.0,5.1,45.9,8.43,139797.84778909592,95303.32274783954,LP3,99.0
48427,19.0,650686.86,4,,1.068027233985714,35979,Starr County,0.2,0.0,2.6,76.1,8.08,,,,
48505,3.0,21222.49,2,13879305.591398288,0.5491709184721435,35061,Zapata County,0.0,0.1,1.2,78.1,8.02,255040.29550690248,199521.514586993,LP3,27.0
48229,0.0,0.0,0,147.84022054085318,0.1537172143851486,35163,Hudspeth County,0.0,0.0,0.2,77.8,7.81,174.54486027483344,158.79900891575687,LP3,18.0
48045,0.0,0.0,0,1861948.9235444977,0.2923733189870451,35446,Briscoe County,0.0,0.0,0.5,77.2,7.8,13104.649960058789,6883.184191481818,LP3,26.0
48041,45.0,604135.22,6,53933086.35528189,6.939890829219494,57562,Brazos County,0.6,0.0,18.4,47.6,7.76,166283.25313694248,129004.68255766996,LP3,66.0
48109,1.0,63111.62,1,9357811.612788863,0.1651700080588608,35924,Culberson County,0.0,0.0,0.2,76.2,7.65,1521.6111076140294,403.8033738582563,LP3,21.0
48351,36.0,1491726.3099999998,4,46328375.00890107,0.9626911538905308,38871,Newton County,0.5,0.0,2.3,70.4,7.59,164124.18068238924,85359.98293728365,LP3,106.0
48397,5.0,355968.11,3,4043303.87898297,13.141215275266916,121303,Rockwall County,0.1,0.0,35.1,22.6,7.56,62949.901828135226,47250.426650230496,LP3,39.0
48007,223.0,6612146.430000001,6,,3.7600987405783033,58168,Aransas County,2.9,0.0,9.9,47.1,7.36,,,,
48489,102.0,1905483.76,6,,1.0831146893453258,42839,Willacy County,1.3,0.0,2.7,63.9,7.32,,,,
48471,139.0,10512633.37,5,4174955.068811993,1.956057843292816,47193,Walker County,1.8,0.0,5.0,58.0,7.27,114625.43475033088,82649.34702007573,LP3,82.0
48027,49.0,1071427.06,6,3460238.5591564514,6.685754827391896,62858,Bell County,0.6,0.0,17.7,43.6,7.26,77565.89610950471,42227.63287000438,LP3,96.0
48243,0.0,0.0,0,1493508.0738904874,0.1561576013736707,38125,Jeff Davis County,0.0,0.0,0.2,71.8,7.21,7721.188626825006,4525.0921243282855,LP3,43.0
48359,0.0,0.0,0,2293204.8627218446,0.2056731481680806,71103,Oldham County,0.0,9.3,0.3,38.5,7.15,47117467.84768291,5806.624342090108,LP3,16.0
48309,45.0,1388552.14,5,22535514.17179772,5.632451417389489,59781,McLennan County,0.6,0.0,14.9,45.8,7.06,191318.3608645769,104232.67869584108,LP3,115.0
48437,0.0,0.0,0,1409328.7154042514,0.7489384204807608,40290,Swisher County,0.0,0.0,1.8,67.9,7.06,10477.832367949555,4902.914674484274,LP3,29.0
48081,0.0,0.0,0,2141611.2598323,0.278044327898706,40230,Coke County,0.0,0.0,0.5,68.0,6.88,31542.936710857302,20035.18314562404,LP3,87.0
48303,9.0,101127.2,4,170901.28715793145,5.961767966798832,61911,Lubbock County,0.1,0.0,15.8,44.2,6.83,4945.922928391702,3533.0219197018937,LP3,13.0
48375,6.0,1142076.29,2,2232860.2611302924,2.7176982409277404,47974,Potter County,0.1,0.0,7.1,57.1,6.82,105733.25257475268,54377.09690698036,LP3,79.0
48485,8.0,224618.38,5,2302748.5398952523,5.246558773835916,58862,Wichita County,0.1,0.0,13.9,46.5,6.78,26028.197774963468,11565.467032800458,LP3,87.0
48327,1.0,40000.0,1,1162327.6859392135,0.2013350204047045,40945,Menard County,0.0,0.0,0.3,66.9,6.74,114790.29744158416,42003.69082444362,LP3,91.0
48137,0.0,0.0,0,1972.690982641429,0.1375857823158788,40809,Edwards County,0.0,0.0,0.1,67.1,6.72,16676.420822593383,2151.8570494427204,LP3,12.0
48445,0.0,0.0,0,135.67930212080276,0.8401494383968371,42694,Terry County,0.0,0.0,2.0,64.1,6.71,248.24322362133276,141.56591777186532,LP3,19.0
48079,0.0,0.0,0,,0.3888554482816732,41597,Cochran County,0.0,0.0,0.8,65.8,6.7,,,,
48321,282.0,4497291.58,5,15568997.293627242,1.058083203273242,56412,Matagorda County,3.6,0.0,2.6,48.5,6.68,87388.0249814293,65393.02532334943,LP3,68.0
48155,0.0,0.0,0,8720551.809647715,0.2824640417566297,41944,Foard County,0.0,0.0,0.5,65.3,6.6,33992.26512539581,11230.951464275837,LP3,59.0
48145,1.0,58640.89,1,3953624.206344994,1.300287088559164,45172,Falls County,0.0,0.0,3.3,60.6,6.56,118895.6312874508,73288.88329736934,LP3,81.0
48247,0.0,0.0,0,,0.2461329475225818,42292,Jim Hogg County,0.0,0.0,0.4,64.7,6.53,,,,
48249,3.0,0.0,2,640429.723524551,1.526992101765681,46626,Jim Wells County,0.0,0.0,3.9,58.7,6.46,29278.59624132762,8965.771316157732,LP3,51.0
48241,37.0,1718002.28,4,19785276.60554767,1.634621442766189,48818,Jasper County,0.5,0.0,4.2,56.1,6.44,73372.80256931143,42661.37173824107,LP3,89.0
48429,1.0,0.0,1,2616880.047547445,0.7685012371556245,44712,Stephens County,0.0,0.0,1.8,61.2,6.39,44776.91345424123,18411.28257878982,LP3,70.0
48191,0.0,0.0,0,21860348.419458855,0.3797674520515929,43873,Hall County,0.0,0.0,0.8,62.4,6.36,107715.0089618286,46067.84227957945,LP3,52.0
48387,0.0,0.0,0,18346.89933457427,0.6115180602822357,44583,Red River County,0.0,0.0,1.4,61.4,6.35,32740.597467009145,16280.140353821143,LP3,29.0
48405,1.0,0.0,1,2280367.7400826705,0.9815348059491332,45888,San Augustine County,0.0,0.0,2.4,59.7,6.33,28332.1955527825,13356.038469674377,LP3,59.0
48115,1.0,15000.0,1,,0.730153435495271,45268,Dawson County,0.0,0.0,1.7,60.5,6.31,,,,
48353,2.0,8470.07,1,,1.034238298374106,47437,Nolan County,0.0,0.0,2.5,57.7,6.14,,,,
48251,23.0,543907.39,5,1733082.3084958554,6.223015590571452,77058,Johnson County,0.3,0.0,16.5,35.5,6.14,12967.5453245635,8223.480303506756,LP3,39.0
48037,39.0,1459863.91,5,1703559.24800727,2.8024090416613023,56628,Bowie County,0.5,0.0,7.3,48.3,6.12,249664.13898147873,132917.75986331917,LP3,85.0
48403,0.0,0.0,0,1456227.025019262,0.8313864202283759,47061,Sabine County,0.0,0.0,2.0,58.2,6.12,37060.61217040408,9779.316253220284,LP3,24.0
48419,1.0,0.0,1,276.9218158337071,1.42903870275599,49231,Shelby County,0.0,0.0,3.6,55.6,6.1,24898.337630920298,10644.80413744316,LP3,31.0
48347,20.0,2272986.28,3,1075.203951388907,1.651967403347795,51153,Nacogdoches County,0.3,0.0,4.2,53.5,6.1,40222.93234598904,25650.906456493667,LP3,93.0
48315,5.0,33130.58,2,2556715.935695448,0.8713847868026431,48040,Marion County,0.1,0.0,2.1,57.0,6.06,44786.693952321104,17145.950260913178,LP3,97.0
48261,1.0,59328.490000000005,1,,0.1618071306309916,45455,Kenedy County,0.0,0.0,0.2,60.2,6.05,,,,
48323,1.0,0.0,1,11714.947915245357,0.923462815003874,48497,Maverick County,0.0,0.2,2.2,56.4,6.04,807792.3817204318,164206.42753477237,LP3,25.0
48343,1.0,533.13,1,2107190.049917971,1.8908447015785277,51532,Morris County,0.0,0.0,4.8,53.1,6.03,165115.02679288932,29585.997817330543,LP3,45.0
48491,11.0,204315.57,5,12297516.375758171,8.168937783096458,102851,Williamson County,0.1,0.0,21.7,26.6,5.96,120174.56133820688,48346.915682637686,LP3,91.0
48125,0.0,0.0,0,,0.3250765050402982,46638,Dickens County,0.0,0.0,0.6,58.7,5.96,,,,
48423,33.0,1019657.97,5,,4.621064701999646,69053,Smith County,0.4,0.0,12.2,39.6,5.95,,,,
48025,3.0,37848.740000000005,2,1537603.105647636,1.3230426442262149,50283,Bee County,0.0,0.0,3.3,54.4,5.94,72435.07652773664,19119.19894935478,LP3,57.0
48189,2.0,8362.13,1,28.47897665558809,1.4222205851734568,50721,Hale County,0.0,0.0,3.6,54.0,5.94,15063.997262825136,1747.1619453997023,LP3,55.0
48409,58.0,749015.37,6,454534.5054471048,3.4943828136155712,63842,San Patricio County,0.7,0.0,9.1,42.9,5.94,101860.7479167992,39391.76436095037,LP3,78.0
48385,1.0,26039.09,1,,0.3266753159348704,46842,Real County,0.0,0.0,0.6,58.4,5.93,,,,
48441,7.0,11417.8,4,3474.5444141049884,3.689478230789733,61806,Taylor County,0.1,0.0,9.7,44.3,5.92,12282.884592547234,3561.566213975433,LP3,41.0
